psi_g_formula_version,w_H,w_D,w_M,gamma,kendall_tau_vs_convention,top_ansatz,score_HEA,score_SU2_equiv,score_Sn_equiv,score_U1_broken,score_U1_equiv
v12_gated,0.32720624479801297,0.45175525394984317,0.2210385012521438,3.0,1.0,Sn_equiv,0.6506314463055488,0.5357233157584665,0.7190987884407583,0.6139472294244828,0.6050202732450282
v12_gated,0.9323410610336459,0.033709390537785815,0.03394954842856838,3.0,1.0,Sn_equiv,0.7379513020169526,0.47837986184304365,0.864493449905894,0.6693414552377359,0.6326533615248933
v12_gated,0.48183642164566043,0.008502211500374673,0.5096613668539648,3.0,1.0,Sn_equiv,0.7289449475242546,0.4749116602730953,0.8056503403875896,0.650617609443552,0.6343103761671265
v12_gated,0.11460537102593353,0.3129106608155512,0.5724839681585153,3.0,0.8,Sn_equiv,0.6675125602268508,0.5166690289412929,0.7099699446028891,0.6136071521394161,0.6141901768627408
v12_gated,0.2159764694267523,0.22248852367178115,0.5615350069014665,3.0,1.0,Sn_equiv,0.6855345645451912,0.5042651641024587,0.737320383890026,0.6242514131785886,0.6201665782988731
v12_gated,0.0748495283837993,0.6638155856245469,0.2613348859916539,3.0,0.8,Sn_equiv,0.607937371927937,0.5648128639868791,0.6529263063246251,0.5883217146065167,0.5910039861962962
v12_gated,0.4698824163143498,0.12088852561488211,0.4092290580707682,3.0,1.0,Sn_equiv,0.7098872872431976,0.4903309767117049,0.7874887757658702,0.6425545845683596,0.6268844178438907
v12_gated,0.4772146934420598,0.4065259873024042,0.11625931925553601,3.0,1.0,Sn_equiv,0.6625561781445204,0.5295210334548179,0.7465658513183057,0.623770560120293,0.6080115517789922
v12_gated,0.7662405576105569,0.2171094436096373,0.016649998779805893,3.0,1.0,Sn_equiv,0.7025556700895471,0.5035390403240972,0.814504329938773,0.6495419985437055,0.6205323818270354
v12_gated,0.17256491435332114,0.22921257764260167,0.5982225080040772,3.0,1.0,Sn_equiv,0.6831431130220574,0.5051867762650792,0.7303061720703752,0.6218345776321831,0.6197214782911882
v12_gated,0.34083037162304997,0.1316468436203977,0.5275227847565522,3.0,1.0,Sn_equiv,0.7043145778904367,0.491804244926476,0.7679925842939288,0.6359876778916547,0.6261711437127496
v12_gated,0.2860262853408814,0.47606232664266823,0.23791138801645043,3.0,1.0,Sn_equiv,0.6453785989045212,0.5390573933202352,0.7098126334292314,0.6104547601737158,0.60341344762244
v12_gated,0.298424494378413,0.17515926674857146,0.5264162388730154,3.0,1.0,Sn_equiv,0.6958289643197435,0.49777329955297994,0.75571626237663,0.6311543525839072,0.62329533441014
v12_gated,0.26798723015511766,0.07797180779931052,0.6540409620455717,3.0,1.0,Sn_equiv,0.7111143939904827,0.48443837306535176,0.7657608865133637,0.6362795933491171,0.6297162540627357
v12_gated,0.26526114887717694,0.3583935247134494,0.37634532640937357,3.0,1.0,Sn_equiv,0.6643567108162828,0.5229126042013801,0.7242073837574412,0.6173889215247492,0.6111878194509485
v12_gated,0.44334314388023566,0.38027028697855936,0.17638656914120504,3.0,1.0,Sn_equiv,0.6659339688116485,0.5259179789104775,0.7457185965491806,0.6239931126074582,0.6097457125059493
v12_gated,0.4248355855532698,0.25124745126964176,0.32391696317708846,3.0,1.0,Sn_equiv,0.6868681837077779,0.5082154477252323,0.7620939121308925,0.6317894233737652,0.6182703252359617
v12_gated,0.15577440029730188,0.772291446925497,0.07193415277720104,3.0,1.0,Sn_equiv,0.5922524844712072,0.5796976679247234,0.648233459802243,0.5847284215115878,0.5838381580576284
v12_gated,0.12631541914480804,0.33008303168756176,0.5436015491676304,3.0,0.8,Sn_equiv,0.6649972891739488,0.519025357707017,0.7090742079562458,0.6129884373517408,0.6130557630705702
v12_gated,0.13693745578538047,0.5844868712187101,0.27857567299590935,3.0,1.0,Sn_equiv,0.6229616024509088,0.5539301846506495,0.6731941189815752,0.5964437640664727,0.5962466670426073
